id,genre
1722793,Documentary
1722794,Documentary
1722803,Animation
1722805,Documentary
1722806,Animation
1722808,Drama
1722811,Family
1722811,Music
1722812,Documentary
1722813,Documentary
1722814,Horror
1722815,Documentary
1722816,Documentary
1722819,Documentary
1722821,Music
1722821,Comedy
1722821,Romance
1722822,Documentary
1722823,Action
1722823,Comedy
1722824,Music
1722825,Documentary
1722827,Music
1722827,Action
1722827,Comedy
1722828,Horror
1722831,Animation
1722832,Horror
1722834,Horror
1722834,Animation
1722835,War
1722836,Animation
1722839,Documentary
1722841,Documentary
1722842,Documentary
1722844,Documentary
1722845,Romance
1722846,Comedy
1722847,Documentary
1722848,Documentary
1722850,Drama
1722850,Comedy
1722853,Music
1722854,Thriller
1722854,Science Fiction
1722855,Drama
1722855,Horror
1722858,Comedy
1722858,Horror
1722860,Romance
1722860,Comedy
1722861,Documentary
1722862,Documentary
1722862,Music
1722863,Animation
1722864,Fantasy
1722864,Science Fiction
1722865,Drama
1722866,Documentary
1722870,Animation
1722870,Horror
1722874,Comedy
1722874,Drama
1722876,Documentary
1722876,TV Movie
1722877,Comedy
1722879,Animation
1722880,Horror
1722881,Animation
1722886,Documentary
1722887,Animation
1722890,Family
1722890,Drama
1722891,Science Fiction
1722891,Animation
1722892,Documentary
1722892,Music
1722893,Documentary
1722895,Documentary
1722896,Animation
1722898,Drama
1722901,Crime
1722901,Action
1722902,Science Fiction
1722902,Action
1722902,Thriller
1722903,Drama
1722903,Comedy
1722904,Comedy
1722905,Music
1722906,Drama
1722907,Documentary
1722908,Comedy
1722909,Romance
1722909,Comedy
1722911,Music
1722912,Drama
1722913,Documentary
1722914,Drama
1722915,Drama
1722918,Documentary
1722918,History
1722921,Documentary
1722922,Drama
1722922,War
1722924,Animation
1722924,Documentary
1722925,Music
1722926,Thriller
1722927,Drama
1722928,Action
1722928,Drama
1722929,Animation
1722930,Documentary
1722931,Comedy
1722935,Documentary
1722936,Romance
1722936,Action
1722936,Mystery
1722936,Comedy
1722937,History
1722937,Documentary
1722938,Drama
1722939,Action
1722939,Drama
1722941,Documentary
1722942,Documentary
1722945,Documentary
1722947,Comedy
1722948,Documentary
1722949,Music
1722950,Documentary
1722953,Drama
1722953,Mystery
1722954,Animation
1722954,Comedy
1722957,Documentary
1722958,Documentary
1722959,Documentary
1722963,Documentary
1722964,Documentary
1722965,Drama
1722967,Animation
1722967,Comedy
1722968,Animation
1722971,Documentary
1722972,Animation
1722973,Documentary
1722974,Drama
1722975,Science Fiction
1722975,Romance
1722975,Comedy
1722976,Drama
1722980,Documentary
1722982,Documentary
1722983,Music
1722984,Drama
1722985,Documentary
1722986,Comedy
1722988,Documentary
1722989,Documentary
1722990,Documentary
1722991,Documentary
1722992,Drama
1722994,Documentary
1722995,Documentary
1722997,Comedy
1722998,Romance
1722999,Music
1723000,Comedy
1723001,Music
1723001,Documentary
1723004,Music
1723007,History
1723007,Drama
1723008,Documentary
1723008,Music
1723009,Romance
1723010,Comedy
1723011,Drama
1723015,Drama
1723015,Comedy
1723018,Drama
1723021,Drama
1723022,Documentary
1723024,Documentary
1723027,Documentary
1723028,Drama
1723032,Documentary
1723035,Action
1723035,Comedy
1723035,Drama
1723036,Documentary
1723037,Documentary
1723038,Romance
1723038,Drama
1723040,Documentary
1723041,Animation
1723042,Documentary
1723046,Crime
1723047,Documentary
1723048,Animation
1723049,Drama
1723051,Drama
1723051,TV Movie
1723053,Documentary
1723054,Documentary
1723057,Music
1723057,Comedy
1723058,Family
1723058,Comedy
1723059,Documentary
1723060,Drama
1723060,Romance
1723061,Family
1723061,Adventure
1723061,Animation
1723063,Documentary
1723065,Romance
1723066,Documentary
1723067,Music
1723068,Drama
1723069,Drama
1723070,Documentary
1723071,Documentary
1723072,Documentary
1723073,War
1723073,Documentary
1723073,History
1723074,Action
1723075,Animation
1723076,Documentary
1723077,Music
1723078,Drama
1723079,Comedy
1723079,Science Fiction
1723079,Drama
1723080,Music
1723081,Documentary
1723082,Drama
1723083,Documentary
1723084,Music
1723085,Documentary
1723085,History
1723086,Documentary
1723089,Comedy
1723089,Fantasy
1723089,Animation
1723091,Horror
1723092,Documentary
1723093,Drama
1723094,Drama
1723095,Family
1723095,Documentary
1723098,Documentary
1723099,Documentary
1723100,Drama
1723101,Horror
1723102,Mystery
1723102,Crime
1723102,Drama
1723103,Documentary
1723104,Animation
1723109,Animation
1723110,Drama
1723111,Documentary
1723112,Animation
1723112,Family
1723112,Comedy
1723113,Animation
1723114,Documentary
1723116,Action
1723116,Comedy
1723116,Fantasy
1723116,Family
1723116,Animation
1723117,Family
1723117,Animation
1723119,Documentary
1723122,Documentary
1723123,Horror
1723126,Drama
1723138,Romance
1723138,Drama
1723139,Documentary
1723139,TV Movie
1723139,History
1723140,Documentary
1723144,Documentary
1723146,Comedy
1723147,Comedy
1723148,Music
1723150,Documentary
1723151,Documentary
1723152,Romance
1723152,TV Movie
1723152,Comedy
1723153,Music
1723154,Family
1723154,Comedy
1723158,Music
1723160,Documentary
1723161,Comedy
1723161,Romance
1723162,Music
1723162,Documentary
1723163,Music
1723166,Drama
1723166,Science Fiction
1723167,Documentary
1723168,Animation
1723169,Documentary
1723170,Music
1723170,Documentary
1723171,Drama
1723173,Documentary
1723174,Comedy
1723175,Documentary
1723176,Documentary
1723178,Documentary
1723179,Comedy
1723180,TV Movie
1723180,Documentary
1723183,Documentary
1723184,Comedy
1723186,Documentary
1723187,Comedy
1723188,Drama
1723189,Action
1723190,Documentary
1723190,TV Movie
1723191,Documentary
1723191,Drama
1723191,Comedy
1723194,Documentary
1723194,History
1723195,Comedy
1723196,Horror
1723198,Documentary
1723200,History
1723201,Comedy
1723201,Crime
1723203,Drama
1723203,Animation
1723205,Documentary
1723209,Comedy
1723209,Adventure
1723209,Family
1723210,Action
1723211,Music
1723211,Comedy
1723212,Comedy
1723213,Drama
1723214,Documentary
1723215,Comedy
1723216,Comedy
1723217,Horror
1723219,Romance
1723219,Drama
1723220,Documentary
1723223,Drama
1723224,Horror
1723225,Documentary
1723226,Documentary
1723232,Comedy
1723233,History
1723234,Comedy
1723235,Documentary
1723235,Adventure
1723236,Thriller
1723237,Music
1723238,Horror
1723239,Horror
1723240,Documentary
1723241,Music
1723242,Documentary
1723243,Documentary
1723244,Music
1723245,Documentary
1723246,Drama
1723248,Horror
1723249,Horror
1723250,Music
1723251,Documentary
1723252,Horror
1723253,Horror
1723254,Music
1723255,Drama
1723256,Music
1723257,Drama
1723257,Romance
1723260,Documentary
1723261,Music
1723264,Documentary
1723267,Drama
1723268,Comedy
1723269,Documentary
1723270,Animation
1723271,Comedy
1723271,Drama
1723272,Documentary
1723274,Mystery
1723276,Drama
1723277,Horror
1723278,Documentary
1723280,Adventure
1723280,Science Fiction
1723280,Action
1723281,Animation
1723283,Drama
1723284,Documentary
1723286,Documentary
1723290,Documentary
1723294,Animation
1723294,Music
1723295,Drama
1723295,Mystery
1723296,Drama
1723296,Crime
1723298,Comedy
1723299,Music
1723302,Documentary
1723303,Drama
1723304,Music
1723305,Drama
1723306,Drama
1723306,Romance
1723306,Comedy
1723306,TV Movie
1723308,Drama
1723310,Documentary
1723311,Music
1723312,Drama
1723312,TV Movie
1723313,Science Fiction
1723315,Music
